,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,duration_ms,time_signature,track_number,track_id,album_id,artista
2,0.402,0.211,1,-18.91,1,0.0446,0.993,0.895,0.104,0.73,106.34,audio_features,204213,4,3,28VzFg0r7YpHwi5xIZATMt,0eT1ie2L88zuPrNmHVi3lJ,Arthur Loesser
3,0.375,0.135,1,-19.021,0,0.0631,0.995,0.88,0.094,0.141,85.424,audio_features,349333,4,4,1KwdXY9zub4CUbacS5IkmE,0eT1ie2L88zuPrNmHVi3lJ,Arthur Loesser
4,0.335,0.121,2,-22.007,1,0.0488,0.994,0.89,0.0821,0.4,111.834,audio_features,177853,4,5,4joGIG3wZzxfmfP30JqCjO,0eT1ie2L88zuPrNmHVi3lJ,Arthur Loesser
5,0.271,0.231,2,-19.922,0,0.0394,0.994,0.916,0.326,0.401,96.229,audio_features,163227,1,6,6dI7XKmqbwKqk3gcVYbS6a,0eT1ie2L88zuPrNmHVi3lJ,Arthur Loesser
6,0.343,0.123,3,-24.016,1,0.0367,0.994,0.865,0.159,0.384,98.807,audio_features,359747,4,7,77cKohdT6SwXmAczORV6U1,0eT1ie2L88zuPrNmHVi3lJ,Arthur Loesser
7,0.406,0.0537,3,-24.274,0,0.0465,0.994,0.904,0.078,0.109,86.437,audio_features,434747,4,8,7xfveDZwWvuE9erVqUwFl9,0eT1ie2L88zuPrNmHVi3lJ,Arthur Loesser
8,0.347,0.129,1,-22.481,0,0.0421,0.995,0.914,0.123,0.588,107.768,audio_features,151827,4,9,3QXOHAK3a6mQFIPdWu9Mx1,0eT1ie2L88zuPrNmHVi3lJ,Arthur Loesser
9,0.275,0.208,4,-17.934,0,0.0406,0.991,0.907,0.16,0.572,132.763,audio_features,189293,4,10,3PtGcYNCWWHXQoMA4RpUob,0eT1ie2L88zuPrNmHVi3lJ,Arthur Loesser
10,0.377,0.17,5,-21.854,1,0.0373,0.994,0.894,0.153,0.846,101.343,audio_features,134347,4,11,0tgqvpchEPzcpNOFWBssaO,0eT1ie2L88zuPrNmHVi3lJ,Arthur Loesser
11,0.382,0.116,5,-23.649,0,0.0507,0.995,0.874,0.134,0.133,138.926,audio_features,344200,4,12,4JcgfmBONq3Gn4V1snbmgl,0eT1ie2L88zuPrNmHVi3lJ,Arthur Loesser
12,0.344,0.063,6,-27.448,1,0.0448,0.995,0.9,0.112,0.762,148.051,audio_features,200653,4,13,4zcNeR0bvv2Bsfck0cqu4j,0eT1ie2L88zuPrNmHVi3lJ,Arthur Loesser
13,0.39,0.128,6,-22.722,0,0.0521,0.995,0.874,0.187,0.267,92.577,audio_features,237093,4,14,12hOrgbr7J9ZIfqo3SBlNr,0eT1ie2L88zuPrNmHVi3lJ,Arthur Loesser
14,0.421,0.158,7,-20.204,1,0.0415,0.994,0.901,0.165,0.806,111.808,audio_features,189387,4,15,3xaTqzWY3OELAG6EevcnC2,0eT1ie2L88zuPrNmHVi3lJ,Arthur Loesser
15,0.357,0.133,7,-21.766,0,0.0479,0.994,0.886,0.243,0.373,88.209,audio_features,222933,4,16,0vHzikA6m9WXcaprRxD3Wa,0eT1ie2L88zuPrNmHVi3lJ,Arthur Loesser
16,0.376,0.0467,8,-27.161,1,0.0381,0.995,0.881,0.109,0.386,99.01,audio_features,277827,4,17,470tE2riE1A5kD8pU5BJNX,0eT1ie2L88zuPrNmHVi3lJ,Arthur Loesser
17,0.484,0.066,8,-27.532,0,0.0563,0.994,0.877,0.0964,0.265,122.337,audio_features,266733,4,18,2NUbR5CkrsGcfqZuPCloG7,0eT1ie2L88zuPrNmHVi3lJ,Arthur Loesser
18,0.361,0.0584,6,-29.986,0,0.0487,0.995,0.877,0.134,0.465,118.67,audio_features,208053,4,1,0iZdp9YI9yHA9NOzKeibLV,0eT1ie2L88zuPrNmHVi3lJ,Arthur Loesser
19,0.469,0.146,9,-22.285,0,0.0596,0.987,0.797,0.0808,0.694,108.312,audio_features,275987,4,2,6r7ZQJ3pcv2z6ROLodG2is,0eT1ie2L88zuPrNmHVi3lJ,Arthur Loesser
