,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,duration_ms,time_signature,track_number,track_id,album_id,artista,key_confidence
5,0.271,0.231,2,-19.922,0,0.0394,0.994,0.916,0.326,0.401,96.229,audio_features,163227,1,6,6dI7XKmqbwKqk3gcVYbS6a,0eT1ie2L88zuPrNmHVi3lJ,Bach,0.54
6,0.343,0.123,3,-24.016,1,0.0367,0.994,0.865,0.159,0.384,98.807,audio_features,359747,4,7,77cKohdT6SwXmAczORV6U1,0eT1ie2L88zuPrNmHVi3lJ,Bach,0.464
7,0.406,0.0537,3,-24.274,0,0.0465,0.994,0.904,0.078,0.109,86.437,audio_features,434747,4,8,7xfveDZwWvuE9erVqUwFl9,0eT1ie2L88zuPrNmHVi3lJ,Bach,0.411
8,0.347,0.129,1,-22.481,0,0.0421,0.995,0.914,0.123,0.588,107.768,audio_features,151827,4,9,3QXOHAK3a6mQFIPdWu9Mx1,0eT1ie2L88zuPrNmHVi3lJ,Bach,0.219
9,0.275,0.208,4,-17.934,0,0.0406,0.991,0.907,0.16,0.572,132.763,audio_features,189293,4,10,3PtGcYNCWWHXQoMA4RpUob,0eT1ie2L88zuPrNmHVi3lJ,Bach,0.542
10,0.377,0.17,5,-21.854,1,0.0373,0.994,0.894,0.153,0.846,101.343,audio_features,134347,4,11,0tgqvpchEPzcpNOFWBssaO,0eT1ie2L88zuPrNmHVi3lJ,Bach,0.643
11,0.382,0.116,5,-23.649,0,0.0507,0.995,0.874,0.134,0.133,138.926,audio_features,344200,4,12,4JcgfmBONq3Gn4V1snbmgl,0eT1ie2L88zuPrNmHVi3lJ,Bach,0.498
12,0.344,0.063,6,-27.448,1,0.0448,0.995,0.9,0.112,0.762,148.051,audio_features,200653,4,13,4zcNeR0bvv2Bsfck0cqu4j,0eT1ie2L88zuPrNmHVi3lJ,Bach,0.462
13,0.39,0.128,6,-22.722,0,0.0521,0.995,0.874,0.187,0.267,92.577,audio_features,237093,4,14,12hOrgbr7J9ZIfqo3SBlNr,0eT1ie2L88zuPrNmHVi3lJ,Bach,0.598
14,0.421,0.158,7,-20.204,1,0.0415,0.994,0.901,0.165,0.806,111.808,audio_features,189387,4,15,3xaTqzWY3OELAG6EevcnC2,0eT1ie2L88zuPrNmHVi3lJ,Bach,0.415
15,0.357,0.133,7,-21.766,0,0.0479,0.994,0.886,0.243,0.373,88.209,audio_features,222933,4,16,0vHzikA6m9WXcaprRxD3Wa,0eT1ie2L88zuPrNmHVi3lJ,Bach,0.633
16,0.376,0.0467,8,-27.161,1,0.0381,0.995,0.881,0.109,0.386,99.01,audio_features,277827,4,17,470tE2riE1A5kD8pU5BJNX,0eT1ie2L88zuPrNmHVi3lJ,Bach,0.535
17,0.484,0.066,8,-27.532,0,0.0563,0.994,0.877,0.0964,0.265,122.337,audio_features,266733,4,18,2NUbR5CkrsGcfqZuPCloG7,0eT1ie2L88zuPrNmHVi3lJ,Bach,0.554
18,0.361,0.0584,6,-29.986,0,0.0487,0.995,0.877,0.134,0.465,118.67,audio_features,208053,4,1,0iZdp9YI9yHA9NOzKeibLV,0eT1ie2L88zuPrNmHVi3lJ,Bach,0.442
19,0.469,0.146,9,-22.285,0,0.0596,0.987,0.797,0.0808,0.694,108.312,audio_features,275987,4,2,6r7ZQJ3pcv2z6ROLodG2is,0eT1ie2L88zuPrNmHVi3lJ,Bach,0.271
0,0.156,0.218,5,-16.258,1,0.0409,0.971,0.923,0.112,0.119,60.747,audio_features,348400,3,1,4qR02uJjnBSiCOZEouRdnD,6AwQLN4vbnZWSLoh5F35MZ,Mozart,0.654
1,0.0845,0.0491,7,-24.783,0,0.044,0.968,0.0188,0.335,0.0372,71.032,audio_features,188400,4,2,4oU4ikOAN3PA6CXNUeHKDn,6AwQLN4vbnZWSLoh5F35MZ,Mozart,0.265
2,0.389,0.126,2,-17.698,1,0.0337,0.966,0.889,0.0949,0.196,73.397,audio_features,255000,4,3,3GgE546fmKi7h2c6as0pCt,6AwQLN4vbnZWSLoh5F35MZ,Mozart,0.792
3,0.318,0.151,7,-18.109,0,0.0346,0.97,0.899,0.249,0.3,78.278,audio_features,462101,4,4,4CRb0EpOo3b3FbL7dm560y,6AwQLN4vbnZWSLoh5F35MZ,Mozart,0.519
4,0.346,0.057,0,-24.757,1,0.0373,0.992,0.868,0.143,0.537,141.073,audio_features,180000,4,5,1pKOnD3jh1q8KeiGWEbjy0,6AwQLN4vbnZWSLoh5F35MZ,Mozart,0.563
5,0.214,0.0769,4,-21.255,1,0.0453,0.971,0.597,0.117,0.072,94.897,audio_features,504133,4,6,4EXxX1ynOGabZx3bPojym2,6AwQLN4vbnZWSLoh5F35MZ,Mozart,0.767
6,0.352,0.0706,9,-21.842,1,0.0436,0.981,0.508,0.0926,0.262,119.888,audio_features,740067,4,7,66zqIJyQ2XG1AvGfCSLTxr,6AwQLN4vbnZWSLoh5F35MZ,Mozart,0.652
7,0.0843,0.0296,2,-23.829,1,0.0459,0.977,0.367,0.0705,0.064,72.517,audio_features,534000,3,8,1qAcHQjQFSh69aPDoeWTxU,6AwQLN4vbnZWSLoh5F35MZ,Mozart,0.709
8,0.124,0.198,2,-17.504,1,0.0417,0.978,0.422,0.18,0.0351,88.825,audio_features,249507,4,9,6SsKlKxIwPUuxYpuyXxIgK,6AwQLN4vbnZWSLoh5F35MZ,Mozart,0.662
9,0.425,0.274,7,-13.4,1,0.0415,0.974,0.944,0.101,0.393,138.199,audio_features,351427,4,10,0szQoGiZDyGGXRKW2PVWAu,6AwQLN4vbnZWSLoh5F35MZ,Mozart,0.658
10,0.451,0.13,2,-17.169,1,0.0396,0.967,0.00177,0.303,0.338,140.167,audio_features,182240,4,11,6FOp5w7Lut0wkcM1qUvHif,6AwQLN4vbnZWSLoh5F35MZ,Mozart,0.748
11,0.38,0.0246,2,-30.203,0,0.0472,0.993,0.889,0.0396,0.209,128.168,audio_features,661867,4,12,5fWxAY7ZNk00zT8n3joOWG,6AwQLN4vbnZWSLoh5F35MZ,Mozart,0.0
12,0.514,0.236,7,-19.64,1,0.0422,0.979,0.87,0.16,0.722,142.666,audio_features,170467,4,13,2PRg8j0Z8y5L5D5xuO2Mhw,6AwQLN4vbnZWSLoh5F35MZ,Mozart,0.831
13,0.215,0.0556,4,-22.373,1,0.0461,0.94,0.786,0.0969,0.134,101.91,audio_features,637000,4,14,4sNMNUgOyjpcuum3TxKj0p,6AwQLN4vbnZWSLoh5F35MZ,Mozart,0.627
14,0.202,0.0521,10,-24.07,1,0.0344,0.989,0.905,0.128,0.114,82.885,audio_features,551933,4,15,79LJzRV8UiNFdbKDfA8F3b,6AwQLN4vbnZWSLoh5F35MZ,Mozart,0.72
15,0.391,0.0816,0,-18.257,1,0.0423,0.922,0.899,0.0726,0.147,131.383,audio_features,292000,4,16,1f9og6Ghex5SpZZkxazFbT,6AwQLN4vbnZWSLoh5F35MZ,Mozart,0.737
16,0.365,0.0424,5,-25.43,1,0.0389,0.994,0.91,0.104,0.659,138.203,audio_features,272560,3,17,063bjCbDt2vEEkTgxlaIMS,6AwQLN4vbnZWSLoh5F35MZ,Mozart,0.536
17,0.432,0.00241,5,-33.228,0,0.0816,0.994,0.888,0.0947,0.219,131.304,audio_features,371040,5,18,5fRtBNjmzIi99znA8aj52q,6AwQLN4vbnZWSLoh5F35MZ,Mozart,0.349
18,0.54,0.195,2,-19.806,1,0.035,0.866,0.764,0.218,0.629,141.409,audio_features,352893,4,19,4fBaQZKzfUIqyTHewJcbjc,6AwQLN4vbnZWSLoh5F35MZ,Mozart,0.759
19,0.261,0.0762,7,-19.509,1,0.0439,0.917,0.863,0.265,0.16,116.261,audio_features,324133,3,20,6RrJ6T0hT7CAZXyAqjyaTL,6AwQLN4vbnZWSLoh5F35MZ,Mozart,0.596
0,0.3,0.0504,10,-20.105,1,0.0402,0.978,0.582,0.505,0.0394,135.799,audio_features,195966,4,1,7GSaxMYluZou4OiSbmtVyt,6EbaN53vVILVI8BNgkXL4D,Beethoven,0.491
1,0.235,0.0437,7,-21.691,0,0.0359,0.956,0.109,0.427,0.0613,135.575,audio_features,207100,4,2,07qGvQfS4IXY07YynB1WBP,6EbaN53vVILVI8BNgkXL4D,Beethoven,0.357
2,0.351,0.228,2,-19.605,0,0.0446,0.974,0.916,0.355,0.293,72.324,audio_features,225382,4,3,12lG40WFLCs4LJbwrZVK5d,6EbaN53vVILVI8BNgkXL4D,Beethoven,0.371
3,0.272,0.0775,2,-21.265,0,0.0359,0.97,0.888,0.625,0.33,68.516,audio_features,198018,4,4,0IUASZbHuj9cctqK4VXSbm,6EbaN53vVILVI8BNgkXL4D,Beethoven,0.515
4,0.327,0.119,2,-18.995,0,0.039,0.97,0.86,0.121,0.141,138.04,audio_features,188534,4,5,0iyuC9XWU5l69lnqetc5EB,6EbaN53vVILVI8BNgkXL4D,Beethoven,0.566
5,0.55,0.311,0,-18.925,1,0.0755,0.967,0.549,0.153,0.343,115.768,audio_features,168332,4,6,699OSUP8QzKQz6hJGiXXu5,6EbaN53vVILVI8BNgkXL4D,Beethoven,0.471
6,0.591,0.281,10,-19.317,1,0.0729,0.962,0.897,0.182,0.373,118.183,audio_features,197890,3,7,6KBM6LygjeTACaMojR757W,6EbaN53vVILVI8BNgkXL4D,Beethoven,0.608
7,0.366,0.0577,2,-23.027,1,0.0395,0.986,0.609,0.135,0.277,140.933,audio_features,234381,4,8,0h73PH9hD40LvQvFWmGcR6,6EbaN53vVILVI8BNgkXL4D,Beethoven,0.926
8,0.568,0.26,2,-20.207,0,0.0764,0.969,0.76,0.148,0.369,117.398,audio_features,227291,4,9,7gqIAyYZYCyvUTvuvd9nVn,6EbaN53vVILVI8BNgkXL4D,Beethoven,0.561
9,0.155,0.0225,10,-31.026,1,0.0459,0.969,0.823,0.0721,0.0362,70.243,audio_features,162233,4,10,1TRtPJoKCQHqzg4726H7Er,6EbaN53vVILVI8BNgkXL4D,Beethoven,0.872
10,0.117,0.0436,10,-27.631,1,0.0419,0.988,0.937,0.096,0.044,85.264,audio_features,214464,4,11,5WiJTIGXf6dKwTdI7Bm1Ii,6EbaN53vVILVI8BNgkXL4D,Beethoven,0.709
11,0.189,0.0583,10,-27.206,1,0.0437,0.973,0.908,0.224,0.0398,116.718,audio_features,306871,3,12,3dvR0oziG7xwJPkRVKZmHF,6EbaN53vVILVI8BNgkXL4D,Beethoven,0.788
12,0.111,0.0357,10,-24.209,1,0.0382,0.974,0.895,0.114,0.0464,70.208,audio_features,301139,4,13,6vNnb89yR1QRHIXmiFL2dU,6EbaN53vVILVI8BNgkXL4D,Beethoven,1.0
13,0.224,0.034,10,-21.959,1,0.0416,0.957,0.936,0.172,0.04,102.8,audio_features,182468,4,14,1l3jDAhSXRyL1RfUMzzX3F,6EbaN53vVILVI8BNgkXL4D,Beethoven,0.294
14,0.103,0.0684,7,-18.645,1,0.0348,0.96,0.928,0.661,0.194,66.172,audio_features,205272,4,15,2pnxZx7BWRQnZB2iwN9OBl,6EbaN53vVILVI8BNgkXL4D,Beethoven,0.023
15,0.38,0.266,2,-15.337,1,0.0555,0.972,0.00352,0.305,0.179,75.138,audio_features,230518,4,16,2X59y9OYxm4WTs5ODnYC3o,6EbaN53vVILVI8BNgkXL4D,Beethoven,0.757
16,0.432,0.485,10,-15.591,1,0.124,0.944,0.21,0.0791,0.448,94.07,audio_features,200917,4,17,4eYwbi6xPYNj1WUIVwEoV2,6EbaN53vVILVI8BNgkXL4D,Beethoven,0.636
17,0.177,0.36,7,-15.08,1,0.0423,0.973,0.242,0.109,0.078,61.457,audio_features,171432,4,18,5bq3EDKfUFgxIxQFjYcxYw,6EbaN53vVILVI8BNgkXL4D,Beethoven,0.823
18,0.222,0.195,4,-17.008,0,0.0367,0.98,0.877,0.52,0.0336,84.51,audio_features,214551,4,19,1wyI8dhzbhbC2mrltw0XqG,6EbaN53vVILVI8BNgkXL4D,Beethoven,0.528
19,0.296,0.182,2,-18.699,1,0.048,0.985,0.0464,0.131,0.0443,126.385,audio_features,200253,4,20,0Ad9EVBmQzcXP80EAMlHlw,6EbaN53vVILVI8BNgkXL4D,Beethoven,0.513
0,0.375,0.192,1,-19.873,1,0.0683,0.94,0.000337,0.855,0.182,138.209,audio_features,534440,4,1,31pNcTrercxibGyQMOq19A,001nmkTbxYzwHlB7kJGszX,Alban Berg,0.481
1,0.288,0.116,5,-22.451,1,0.065,0.911,0.00302,0.153,0.0843,106.388,audio_features,400933,3,2,2A8OEAk7BBLGlssMKcQHDt,001nmkTbxYzwHlB7kJGszX,Alban Berg,0.399
2,0.253,0.164,5,-21.821,1,0.0726,0.934,7.69e-05,0.121,0.0812,172.668,audio_features,510613,4,3,02JjUOHB9SBpHklH9Wlz99,001nmkTbxYzwHlB7kJGszX,Alban Berg,0.51
3,0.325,0.216,8,-20.725,1,0.0772,0.914,7.3e-05,0.753,0.22,84.187,audio_features,440360,4,4,1t74S5NrczdX0TZcQZrVtV,001nmkTbxYzwHlB7kJGszX,Alban Berg,0.0
4,0.237,0.311,2,-15.87,1,0.059,0.913,0.000512,0.131,0.192,77.282,audio_features,187653,3,5,3PJCFtUSJfx2r6yXyVwcJt,001nmkTbxYzwHlB7kJGszX,Alban Berg,0.148
5,0.256,0.194,5,-20.267,1,0.111,0.949,5.75e-05,0.345,0.0958,73.18,audio_features,350973,4,1,4Q55hFTVwlJXDanfIVAFxs,001nmkTbxYzwHlB7kJGszX,Alban Berg,0.272
6,0.371,0.215,1,-20.15,1,0.096,0.951,5.56e-05,0.0989,0.26,74.132,audio_features,576813,4,2,5D0bkB47AoeNo7b6ZiYbb4,001nmkTbxYzwHlB7kJGszX,Alban Berg,0.248
7,0.298,0.165,7,-20.273,1,0.0514,0.925,0.00194,0.252,0.0909,90.998,audio_features,282453,3,3,2Wg37UqyidNow1cHKRgoOT,001nmkTbxYzwHlB7kJGszX,Alban Berg,0.367
8,0.269,0.251,2,-19.673,0,0.163,0.91,0.000442,0.583,0.224,72.096,audio_features,610173,3,4,4LoGnjlGS8T30Oy5wPCX4V,001nmkTbxYzwHlB7kJGszX,Alban Berg,0.212
9,0.276,0.235,2,-19.773,0,0.06,0.933,0.00162,0.136,0.181,83.365,audio_features,297013,4,5,5fqmaLkdSdeG43Obn8jRiY,001nmkTbxYzwHlB7kJGszX,Alban Berg,0.0
10,0.198,0.123,1,-21.698,1,0.056,0.95,0.000171,0.0943,0.0581,83.431,audio_features,305440,4,6,1Vrm9Unyd72JuWV2yIR5G4,001nmkTbxYzwHlB7kJGszX,Alban Berg,0.003
11,0.257,0.105,4,-24.297,1,0.0536,0.859,0.0108,0.344,0.0394,110.555,audio_features,326480,3,7,3LKy4EF95qv9vh3kVnAIal,001nmkTbxYzwHlB7kJGszX,Alban Berg,0.0
12,0.372,0.281,10,-18.634,0,0.0713,0.928,3.76e-05,0.436,0.28,85.126,audio_features,184187,3,8,4spSLuyE7oyV7CzftClSJT,001nmkTbxYzwHlB7kJGszX,Alban Berg,0.119
13,0.195,0.127,10,-20.985,0,0.0452,0.897,0.0816,0.139,0.0712,175.572,audio_features,469893,3,9,5qKBkNGVPaN9ssDYSKGX8G,001nmkTbxYzwHlB7kJGszX,Alban Berg,0.092
14,0.311,0.0319,9,-24.975,0,0.0323,0.898,0.00884,0.24,0.137,62.963,audio_features,102573,4,10,6nGCRnwuS8zTf9s0IoY5Vg,001nmkTbxYzwHlB7kJGszX,Alban Berg,0.505
0,0.14,0.0403,11,-25.558,1,0.0438,0.975,0.858,0.0656,0.033,87.652,audio_features,617587,4,1,33Emxrj5UYbGul05kUr9af,13GSfOTgzZjwp8JhmxgZr0,Stravinsky,0.2
1,0.247,0.242,6,-17.048,0,0.0444,0.963,0.801,0.0791,0.0761,102.808,audio_features,360080,1,2,3lKx25ZmdwSU3Wky4C7m4R,13GSfOTgzZjwp8JhmxgZr0,Stravinsky,0.0
2,0.12,0.12,9,-19.237,1,0.0403,0.978,0.638,0.132,0.0399,88.795,audio_features,964893,4,3,4b9znOY6Uy3Qbi1BDvB2Mm,13GSfOTgzZjwp8JhmxgZr0,Stravinsky,0.195
3,0.163,0.0187,2,-31.603,1,0.0377,0.968,0.941,0.101,0.0369,78.652,audio_features,207253,4,4,6MGEOFqaPgOGneKJhaWsrO,13GSfOTgzZjwp8JhmxgZr0,Stravinsky,0.01
4,0.505,0.255,10,-22.251,1,0.0387,0.947,0.802,0.657,0.424,114.744,audio_features,182867,4,5,0DdkGreV6yWy4dTH6tXuY8,13GSfOTgzZjwp8JhmxgZr0,Stravinsky,0.255
5,0.289,0.438,5,-18.634,1,0.064,0.974,0.779,0.318,0.238,181.139,audio_features,75667,4,6,5nwiJM625BgLqdwPj7mE20,13GSfOTgzZjwp8JhmxgZr0,Stravinsky,0.027
6,0.128,0.0417,10,-20.971,0,0.0511,0.956,0.95,0.0994,0.0376,89.712,audio_features,245600,1,7,5K3o4UrAqiQViT6ExEFE5g,13GSfOTgzZjwp8JhmxgZr0,Stravinsky,0.853
7,0.319,0.327,0,-18.257,0,0.0663,0.956,0.926,0.436,0.318,165.052,audio_features,109827,4,8,2gKSQxS6x5ItZvL2fVKUEo,13GSfOTgzZjwp8JhmxgZr0,Stravinsky,0.178
8,0.389,0.564,8,-11.82,1,0.0307,0.961,0.966,0.311,0.358,51.332,audio_features,40467,3,9,5Z68xWh0yzdSW3MhztPacv,13GSfOTgzZjwp8JhmxgZr0,Stravinsky,0.545
9,0.0865,0.000216,3,-53.724,1,0.0615,0.0,0.999,0.142,0.0,82.091,audio_features,20267,3,10,3RoYxUv4CposdnrkaCTdcG,13GSfOTgzZjwp8JhmxgZr0,Stravinsky,0.0
10,0.439,0.561,10,-15.035,0,0.0367,0.881,0.986,0.0633,0.0746,80.946,audio_features,77453,3,11,5h9uC9ahKEt2JYoMpgEdMX,13GSfOTgzZjwp8JhmxgZr0,Stravinsky,0.778
11,0.0679,0.00757,2,-37.158,0,0.0412,0.929,0.0611,0.264,0.0381,75.207,audio_features,286027,4,12,23Wdv6J0A4vGPjOQldEoJG,13GSfOTgzZjwp8JhmxgZr0,Stravinsky,0.265
12,0.198,0.00711,6,-35.708,0,0.0407,0.975,0.126,0.693,0.0994,128.832,audio_features,203813,4,13,2U59mONiYrpaJU0EvPFUIy,13GSfOTgzZjwp8JhmxgZr0,Stravinsky,0.36
13,0.593,0.554,1,-13.806,1,0.0597,0.946,0.916,0.439,0.12,136.539,audio_features,88467,4,14,4KaYW238mxvvus5dpaYwP8,13GSfOTgzZjwp8JhmxgZr0,Stravinsky,0.718
14,0.525,0.144,7,-19.07,0,0.114,0.973,0.949,0.134,0.0503,122.515,audio_features,40373,4,15,4yTjqXYnuhGqzetNlV9QFh,13GSfOTgzZjwp8JhmxgZr0,Stravinsky,0.329
15,0.376,0.0229,0,-21.199,0,0.0362,0.922,0.416,0.154,0.165,116.313,audio_features,223053,4,16,7hiNV3C12inhpSzXXGDyf5,13GSfOTgzZjwp8JhmxgZr0,Stravinsky,0.0
16,0.509,0.497,2,-13.694,0,0.163,0.889,0.742,0.104,0.147,139.145,audio_features,267656,3,17,0JhOGRgd41L8Da8xDMex0J,13GSfOTgzZjwp8JhmxgZr0,Stravinsky,0.788
